5.42828E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-73
5.42828E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-73
5.42828E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-72
5.42828E+13,4, sape, 20:c9:d0:18:43:f3,-93
5.42828E+13,4, TUDelft-Event, 1c:aa:07:7b:37:03,-85
5.42828E+13,4, RFID-AP, 00:22:f7:21:d0:38,-78
5.42828E+13,4, TUDelft-Event, 24:01:c7:76:2a:33,-83
5.42828E+13,4, tudelft-dastud, 1c:aa:07:b0:7a:b2,-76
5.42828E+13,4, mfold-dlink, 00:26:5a:a9:99:46,-94
5.42828E+13,4, mfold-linksys, 00:25:9c:ca:87:ee,-91
5.42828E+13,4, TUvisitor, 1c:aa:07:7b:39:11,-74
5.42828E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-72
5.42828E+13,4, eduroam, 1c:aa:07:7b:39:10,-76
5.42828E+13,4, TUvisitor, 1c:aa:07:b0:74:c1,-90
5.42864E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-86
5.42864E+13,4, autosound, 80:ea:96:eb:1e:fc,-73
5.42864E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-59
5.42864E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-72
5.42864E+13,4, eduroam, 1c:aa:07:6e:31:a0,-77
5.42864E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-85
5.42864E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-77
5.42864E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-77
5.42864E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-78
5.42864E+13,4, sape, 20:c9:d0:18:43:f3,-92
5.42864E+13,4, TUDelft-Event, 1c:aa:07:7b:37:03,-85
5.42864E+13,4, RFID-AP, 00:22:f7:21:d0:38,-82
5.42864E+13,4, TUDelft-Event, 24:01:c7:76:2a:33,-83
5.42864E+13,4, tudelft-dastud, 1c:aa:07:b0:7a:b2,-78
5.42864E+13,4, mfold-dlink, 00:26:5a:a9:99:46,-94
5.42864E+13,4, mfold-linksys, 00:25:9c:ca:87:ee,-91
5.42864E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-78
5.42864E+13,4, eduroam, 1c:aa:07:7b:39:10,-76
5.42864E+13,4, TUvisitor, 1c:aa:07:b0:74:c1,-90
5.42864E+13,4, eduroam, 1c:aa:07:b0:7a:b0,-79
5.42864E+13,4, VIP Lounge, 00:16:0a:1d:c1:48,-94
5.42864E+13,4, TUvisitor, 1c:aa:07:b0:7a:b1,-77
5.42896E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-77
5.42896E+13,4, autosound, 80:ea:96:eb:1e:fc,-71
5.42896E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-72
5.42896E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-75
5.42896E+13,4, eduroam, 1c:aa:07:6e:31:a0,-76
5.42896E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-84
5.42896E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-77
5.42896E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-77
5.42896E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-77
5.42896E+13,4, sape, 20:c9:d0:18:43:f3,-87
5.42896E+13,4, TUDelft-Event, 1c:aa:07:7b:37:03,-85
5.42896E+13,4, RFID-AP, 00:22:f7:21:d0:38,-83
5.42896E+13,4, tudelft-dastud, 1c:aa:07:b0:7a:b2,-78
5.42896E+13,4, mfold-dlink, 00:26:5a:a9:99:46,-95
5.42896E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-78
5.42896E+13,4, eduroam, 1c:aa:07:b0:7a:b0,-79
5.42896E+13,4, VIP Lounge, 00:16:0a:1d:c1:48,-94
5.42896E+13,4, TUvisitor, 1c:aa:07:b0:7a:b1,-77
5.42896E+13,4, tudelft-dastud, 1c:aa:07:7b:39:12,-74
5.42896E+13,4, TUvisitor, 24:01:c7:76:2a:31,-88
5.42931E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-77
5.42931E+13,4, autosound, 80:ea:96:eb:1e:fc,-68
5.42931E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-65
5.42931E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-74
5.42931E+13,4, eduroam, 1c:aa:07:6e:31:a0,-77
5.42931E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-89
5.42931E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-77
5.42931E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-77
5.42931E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-77
5.42931E+13,4, sape, 20:c9:d0:18:43:f3,-87
5.42931E+13,4, TUDelft-Event, 1c:aa:07:7b:37:03,-85
5.42931E+13,4, RFID-AP, 00:22:f7:21:d0:38,-84
5.42931E+13,4, mfold-dlink, 00:26:5a:a9:99:46,-95
5.42931E+13,4, TUDelft-Event, 1c:aa:07:b0:7a:b3,-76
5.42931E+13,4, tudelft-dastud, 1c:aa:07:7b:39:12,-76
5.42931E+13,4, TUvisitor, 24:01:c7:76:2a:31,-88
5.42931E+13,4, eduroam, 1c:aa:07:7b:39:10,-75
5.42931E+13,4, TUDelft-Event, 1c:aa:07:7b:28:03,-85
5.42931E+13,4, TUvisitor, 1c:aa:07:7b:39:11,-75
5.42931E+13,4, TUvisitor, 1c:aa:07:b0:80:c1,-90
5.42963E+13,4, SLDE-䋢-2, 5c:96:9d:65:76:8d,-79
5.42963E+13,4, autosound, 80:ea:96:eb:1e:fc,-73
5.42963E+13,4, hotspot_mike, 60:36:dd:cb:c1:4f,-68
5.42963E+13,4, TUDelft-Event, 1c:aa:07:7b:39:13,-76
5.42963E+13,4, eduroam, 1c:aa:07:6e:31:a0,-79
5.42963E+13,4, NaoNet3, 00:0c:f6:a6:3c:e8,-84
5.42963E+13,4, TUDelft-Event, 1c:aa:07:6e:31:a3,-78
5.42963E+13,4, tudelft-dastud, 1c:aa:07:6e:31:a2,-77
5.42963E+13,4, TUvisitor, 1c:aa:07:6e:31:a1,-77
