5.55694E+13,11, TUDelft-Event, 00:26:cb:d2:1d:13,-91
5.55694E+13,11,21888038, c8:d3:a3:16:92:e6,-97
5.55694E+13,11, TUvisitor, 00:26:cb:d2:1d:11,-92
5.55694E+13,11, tudelft-dastud, 1c:aa:07:7b:28:02,-84
5.55715E+13,11, RFID-AP, 00:22:f7:21:d0:38,-84
5.55715E+13,11, eduroam, 1c:aa:07:7b:28:00,-82
5.55715E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-82
5.55715E+13,11, tudelft-dastud, 1c:aa:07:7b:28:02,-83
5.55715E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-91
5.55715E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-101
5.55715E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-91
5.55739E+13,11, RFID-AP, 00:22:f7:21:d0:38,-85
5.55739E+13,11, eduroam, 1c:aa:07:7b:28:00,-82
5.55739E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-85
5.55739E+13,11, tudelft-dastud, 1c:aa:07:7b:28:02,-86
5.55739E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-93
5.55739E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-101
5.55739E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-91
5.5577E+13,11, RFID-AP, 00:22:f7:21:d0:38,-93
5.5577E+13,11, eduroam, 1c:aa:07:7b:28:00,-83
5.5577E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-85
5.5577E+13,11, tudelft-dastud, 1c:aa:07:7b:28:02,-86
5.5577E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-84
5.5577E+13,11, Router_Joost, 48:f8:b3:40:f1:a9,-101
5.5577E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-88
5.5577E+13,11, TUDelft-Event, 1c:aa:07:b0:7d:53,-88
5.5577E+13,11, TUvisitor, 1c:aa:07:b0:7d:51,-88
5.55795E+13,11, RFID-AP, 00:22:f7:21:d0:38,-87
5.55795E+13,11, eduroam, 1c:aa:07:7b:28:00,-81
5.55795E+13,11, TUDelft-Event, 1c:aa:07:7b:28:03,-80
5.55795E+13,11, CrowdGuest, 6e:a0:63:eb:9f:71,-84
5.55795E+13,11, my_shared_connection, 84:a6:c8:77:c4:c8,-88
5.55795E+13,11, TUDelft-Event, 1c:aa:07:b0:7d:53,-91
5.55795E+13,11, TUvisitor, 1c:aa:07:b0:7d:51,-88
5.55795E+13,11, tudelft-dastud, 1c:aa:07:b0:7d:52,-92
5.55795E+13,11, TUDelft-Event, 1c:aa:07:7b:37:d3,-92
5.55795E+13,11, Angus, 2e:55:f9:60:43:84,-96
5.55795E+13,11, Vloat 2.4, c4:6e:1f:0c:b9:44,-99
