46578215897535, 3, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -92
46578215897535, 3, mfold-linksys, 00:25:9c:ca:87:ee, -89
46578215897535, 3, TUvisitor, 1c:aa:07:6e:31:ae, -77
46578215897535, 3, TUvisitor, 24:01:c7:76:2a:31, -76
46578215897535, 3, TUvisitor, 1c:aa:07:7b:37:01, -78
46603826449589, 3, hotspot_mike, 60:36:dd:cb:c1:4f, -54
46603826449589, 3, autosound, 80:ea:96:eb:1e:fc, -56
46603826449589, 3, SLDE-™-2, 5c:96:9d:65:76:8d, -79
46603826449589, 3, autosound, 80:ea:96:eb:1e:fd, -80
46603826449589, 3, TUvisitor, 1c:aa:07:7b:39:11, -55
46603826449589, 3, TRIBLER, e0:3f:49:09:d9:98, -76
46603826449589, 3, NaoNet3, 00:0c:f6:a6:3c:e8, -78
46603826449589, 3, eduroam, 1c:aa:07:7b:39:10, -58
46603826449589, 3, TUvisitor, 1c:aa:07:7b:39:1e, -69
46603826449589, 3, tudelft-dastud, 1c:aa:07:b0:7a:b2, -75
46603826449589, 3, sape, 20:c9:d0:18:43:f3, -84
46603826449589, 3, tudelft-dastud, 1c:aa:07:7b:39:12, -54
46603826449589, 3, tudelft-dastud, 1c:aa:07:6e:31:a2, -59
46603826449589, 3, eduroam, 1c:aa:07:6e:31:a0, -59
46603826449589, 3, tudelft-dastud, 1c:aa:07:6e:31:ad, -75
46603826449589, 3, mfold-dlink, 00:26:5a:a9:99:46, -86
46603826449589, 3, eduroam, 1c:aa:07:7b:37:00, -77
46603826449589, 3, eduroam, 1c:aa:07:b0:7a:b0, -73
46603826449589, 3, TUvisitor, 1c:aa:07:6e:31:a1, -60
46603826449589, 3, eduroam, 1c:aa:07:7b:39:1f, -70
46603826449589, 3, tudelft-dastud, 1c:aa:07:7b:37:02, -73
46603826449589, 3, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -92
46603826449589, 3, mfold-linksys, 00:25:9c:ca:87:ee, -89
46603826449589, 3, TUvisitor, 1c:aa:07:6e:31:ae, -77
46603826449589, 3, TUvisitor, 24:01:c7:76:2a:31, -76
46603826449589, 3, TUvisitor, 1c:aa:07:7b:37:01, -73
46610005760342, 3, hotspot_mike, 60:36:dd:cb:c1:4f, -59
46610005760342, 3, autosound, 80:ea:96:eb:1e:fc, -61
46610005760342, 3, SLDE-™-2, 5c:96:9d:65:76:8d, -82
46610005760342, 3, autosound, 80:ea:96:eb:1e:fd, -84
46610005760342, 3, TUvisitor, 1c:aa:07:7b:39:11, -60
46610005760342, 3, TRIBLER, e0:3f:49:09:d9:98, -81
46610005760342, 3, NaoNet3, 00:0c:f6:a6:3c:e8, -82
46610005760342, 3, eduroam, 1c:aa:07:7b:39:10, -60
46610005760342, 3, TUvisitor, 1c:aa:07:7b:39:1e, -69
46610005760342, 3, tudelft-dastud, 1c:aa:07:b0:7a:b2, -72
46610005760342, 3, sape, 20:c9:d0:18:43:f3, -84
46610005760342, 3, tudelft-dastud, 1c:aa:07:7b:39:12, -60
46610005760342, 3, tudelft-dastud, 1c:aa:07:6e:31:a2, -67
46610005760342, 3, eduroam, 1c:aa:07:6e:31:a0, -67
46610005760342, 3, mfold-dlink, 00:26:5a:a9:99:46, -86
46610005760342, 3, eduroam, 1c:aa:07:7b:37:00, -75
46610005760342, 3, eduroam, 1c:aa:07:b0:7a:b0, -73
46610005760342, 3, TUvisitor, 1c:aa:07:6e:31:a1, -67
46610005760342, 3, eduroam, 1c:aa:07:7b:39:1f, -74
46610005760342, 3, tudelft-dastud, 1c:aa:07:7b:37:02, -73
46610005760342, 3, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -92
46610005760342, 3, mfold-linksys, 00:25:9c:ca:87:ee, -89
46610005760342, 3, TUvisitor, 1c:aa:07:7b:37:01, -73
46610005760342, 3, tudelft-dastud, 1c:aa:07:7b:39:1d, -74
46610005760342, 3, eduroam, 1c:aa:07:7b:28:00, -81
46610005760342, 3, FindingNemo, 2a:ed:b9:d1:2d:57, -89
46610005760342, 3, TUvisitor, 1c:aa:07:b0:7a:b1, -73
46613931858927, 3, hotspot_mike, 60:36:dd:cb:c1:4f, -53
46613931858927, 3, autosound, 80:ea:96:eb:1e:fc, -64
46613931858927, 3, SLDE-™-2, 5c:96:9d:65:76:8d, -78
46613931858927, 3, autosound, 80:ea:96:eb:1e:fd, -86
46613931858927, 3, TUvisitor, 1c:aa:07:7b:39:11, -68
