13768119700090, 18, CrowdGuest, 6e:a1:63:eb:9f:70, -85
13768119700090, 18, TUvisitor, 1c:aa:07:7b:28:0e, -52
13768119700090, 18, TUvisitor, 1c:aa:07:b0:7d:51, -77
13785678477640, 18, RFID-AP, 00:22:f7:21:d0:38, -76
13785678477640, 18, TUvisitor, 1c:aa:07:7b:28:01, -47
13785678477640, 18, netgostar, ac:7b:a1:de:ba:b6, -76
13785678477640, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -75
13785678477640, 18, , 6c:70:9f:eb:63:a0, -75
13785678477640, 18, eduroam, 1c:aa:07:7b:28:00, -48
13785678477640, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -48
13785678477640, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -61
13785678477640, 18, TUvisitor, 1c:aa:07:7b:37:d1, -70
13785678477640, 18, , 6c:70:9f:eb:63:a1, -83
13785678477640, 18, tudelft-dastud, 1c:aa:07:b0:7d:52, -80
13785678477640, 18, CrowdGuest, 6e:a1:63:eb:9f:70, -85
13785678477640, 18, TUvisitor, 1c:aa:07:7b:28:0e, -52
13785678477640, 18, TUvisitor, 1c:aa:07:b0:7d:51, -77
13792313461978, 18, RFID-AP, 00:22:f7:21:d0:38, -70
13792313461978, 18, TUvisitor, 1c:aa:07:7b:28:01, -48
13792313461978, 18, netgostar, ac:7b:a1:de:ba:b6, -72
13792313461978, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -83
13792313461978, 18, , 6c:70:9f:eb:63:a0, -84
13792313461978, 18, eduroam, 1c:aa:07:7b:28:00, -47
13792313461978, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -48
13792313461978, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -56
13792313461978, 18, TUvisitor, 1c:aa:07:7b:37:d1, -70
13792313461978, 18, eduroam, 1c:aa:07:7b:28:0f, -56
13792313461978, 18, VGV75191703A7, 88:03:55:17:03:a7, -89
13798999632772, 18, RFID-AP, 00:22:f7:21:d0:38, -81
13798999632772, 18, TUvisitor, 1c:aa:07:7b:28:01, -49
13798999632772, 18, netgostar, ac:7b:a1:de:ba:b6, -76
13798999632772, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -73
13798999632772, 18, , 6c:70:9f:eb:63:a0, -74
13798999632772, 18, eduroam, 1c:aa:07:7b:28:00, -49
13798999632772, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -48
13798999632772, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -56
13798999632772, 18, TUvisitor, 1c:aa:07:7b:37:d1, -66
13798999632772, 18, eduroam, 1c:aa:07:7b:28:0f, -60
13798999632772, 18, VGV75191703A7, 88:03:55:17:03:a7, -89
13798999632772, 18, tudelft-dastud, 1c:aa:07:7b:37:d2, -65
13798999632772, 18, NaoNet, 00:0c:f6:6c:cf:94, -89
13805901541608, 18, RFID-AP, 00:22:f7:21:d0:38, -81
13805901541608, 18, TUvisitor, 1c:aa:07:7b:28:01, -47
13805901541608, 18, netgostar, ac:7b:a1:de:ba:b6, -75
13805901541608, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -76
13805901541608, 18, , 6c:70:9f:eb:63:a0, -77
13805901541608, 18, eduroam, 1c:aa:07:7b:28:00, -46
13805901541608, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -48
13805901541608, 18, TUvisitor, 1c:aa:07:7b:37:d1, -66
13805901541608, 18, eduroam, 1c:aa:07:7b:28:0f, -64
13805901541608, 18, tudelft-dastud, 1c:aa:07:7b:37:d2, -72
13805901541608, 18, NaoNet, 00:0c:f6:6c:cf:94, -89
13805901541608, 18, JLINK3G_03_00012, 00:18:d7:d2:c2:78, -85
13811804151111, 18, RFID-AP, 00:22:f7:21:d0:38, -78
13811804151111, 18, TUvisitor, 1c:aa:07:7b:28:01, -49
13811804151111, 18, netgostar, ac:7b:a1:de:ba:b6, -77
13811804151111, 18, CrowdGuest, 6e:a0:63:eb:9f:71, -76
13811804151111, 18, , 6c:70:9f:eb:63:a0, -74
13811804151111, 18, eduroam, 1c:aa:07:7b:28:00, -50
13811804151111, 18, tudelft-dastud, 1c:aa:07:7b:28:02, -49
13811804151111, 18, TUvisitor, 1c:aa:07:7b:37:d1, -73
13811804151111, 18, eduroam, 1c:aa:07:7b:28:0f, -61
13811804151111, 18, tudelft-dastud, 1c:aa:07:7b:37:d2, -72
13811804151111, 18, JLINK3G_03_00012, 00:18:d7:d2:c2:78, -85
13811804151111, 18, tudelft-dastud, 1c:aa:07:7b:28:0d, -61
13821119245907, 18, RFID-AP, 00:22:f7:21:d0:38, -80
13821119245907, 18, TUvisitor, 1c:aa:07:7b:28:01, -63
