8854606565247, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -88
8871125774255, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -81
8871125774255, 11, , 6c:70:9f:eb:63:a0, -83
8871125774255, 11, RFID-AP, 00:22:f7:21:d0:38, -84
8871125774255, 11, NaoNet, 00:0c:f6:6c:cf:94, -88
8876243448424, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -85
8876243448424, 11, , 6c:70:9f:eb:63:a0, -85
8876243448424, 11, RFID-AP, 00:22:f7:21:d0:38, -85
8876243448424, 11, NaoNet, 00:0c:f6:6c:cf:94, -88
8881261476510, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -90
8881261476510, 11, , 6c:70:9f:eb:63:a0, -85
8881261476510, 11, RFID-AP, 00:22:f7:21:d0:38, -84
8886855803512, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -90
8886855803512, 11, RFID-AP, 00:22:f7:21:d0:38, -84
8891536647182, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -88
8891536647182, 11, RFID-AP, 00:22:f7:21:d0:38, -86
8891536647182, 11, , 6c:70:9f:eb:63:a0, -90
8896235451184, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -83
8896235451184, 11, RFID-AP, 00:22:f7:21:d0:38, -85
8896235451184, 11, , 6c:70:9f:eb:63:a0, -88
8896235451184, 11, 24 hour party place, 90:94:e4:c6:21:98, -92
8901177926436, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -83
8901177926436, 11, RFID-AP, 00:22:f7:21:d0:38, -78
8901177926436, 11, , 6c:70:9f:eb:63:a0, -90
8901177926436, 11, 24 hour party place, 90:94:e4:c6:21:98, -92
8901177926436, 11, tudelft-dastud, 1c:aa:07:7b:28:02, -82
8901177926436, 11, 21888038, c8:d3:a3:16:92:e6, -89
8901177926436, 11, TUvisitor, 1c:aa:07:7b:28:01, -80
8935735354453, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -82
8935735354453, 11, RFID-AP, 00:22:f7:21:d0:38, -72
8935735354453, 11, , 6c:70:9f:eb:63:a0, -83
8935735354453, 11, tudelft-dastud, 1c:aa:07:7b:28:02, -77
8935735354453, 11, 21888038, c8:d3:a3:16:92:e6, -89
8935735354453, 11, TUvisitor, 1c:aa:07:7b:28:01, -80
8935735354453, 11, , 6c:70:9f:eb:63:a1, -89
8943203507206, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -82
8943203507206, 11, RFID-AP, 00:22:f7:21:d0:38, -82
8943203507206, 11, , 6c:70:9f:eb:63:a0, -83
8943203507206, 11, tudelft-dastud, 1c:aa:07:7b:28:02, -77
8943203507206, 11, , 6c:70:9f:eb:63:a1, -89
8943203507206, 11, CrowdGuest, 6e:a1:63:eb:9f:70, -90
8943203507206, 11, NaoNet, 00:0c:f6:6c:cf:94, -93
8955118543879, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -88
8955118543879, 11, RFID-AP, 00:22:f7:21:d0:38, -78
8955118543879, 11, , 6c:70:9f:eb:63:a0, -90
8955118543879, 11, CrowdGuest, 6e:a1:63:eb:9f:70, -90
8955118543879, 11, NaoNet, 00:0c:f6:6c:cf:94, -90
8955118543879, 11, TUvisitor, 1c:aa:07:7b:28:01, -77
8967035102676, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -88
8967035102676, 11, RFID-AP, 00:22:f7:21:d0:38, -78
8967035102676, 11, , 6c:70:9f:eb:63:a0, -90
8967035102676, 11, NaoNet, 00:0c:f6:6c:cf:94, -90
8967035102676, 11, TUvisitor, 1c:aa:07:7b:28:01, -77
8967035102676, 11, eduroam, 1c:aa:07:7b:28:00, -78
8987337472935, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -85
8987337472935, 11, RFID-AP, 00:22:f7:21:d0:38, -79
8987337472935, 11, , 6c:70:9f:eb:63:a0, -86
8987337472935, 11, TUvisitor, 1c:aa:07:7b:28:01, -78
8987337472935, 11, eduroam, 1c:aa:07:7b:28:00, -81
8987337472935, 11, tudelft-dastud, 1c:aa:07:7b:28:02, -81
8997044434399, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -84
8997044434399, 11, RFID-AP, 00:22:f7:21:d0:38, -79
8997044434399, 11, , 6c:70:9f:eb:63:a0, -86
8997044434399, 11, TUvisitor, 1c:aa:07:7b:28:01, -79
8997044434399, 11, eduroam, 1c:aa:07:7b:28:00, -80
8997044434399, 11, tudelft-dastud, 1c:aa:07:7b:28:02, -79
8997044434399, 11, , 6c:70:9f:eb:63:a1, -91
8997044434399, 11, CrowdGuest, 6e:a1:63:eb:9f:70, -91
9010951299114, 11, CrowdGuest, 6e:a0:63:eb:9f:71, -81
9010951299114, 11, RFID-AP, 00:22:f7:21:d0:38, -77
9010951299114, 11, , 6c:70:9f:eb:63:a0, -84
9010951299114, 11, TUvisitor, 1c:aa:07:7b:28:01, -77
