6323435191457, 8, tudelft-dastud, 1c:aa:07:b0:80:c2, -74
6323435191457, 8, eduroam, 1c:aa:07:b0:80:c0, -75
6323435191457, 8, tudelft-dastud, 1c:aa:07:7b:28:02, -75
6323435191457, 8, TUvisitor, 1c:aa:07:b0:7a:be, -67
6323435191457, 8, TUvisitor, 1c:aa:07:6f:28:51, -74
6323435191457, 8, TUvisitor, 1c:aa:07:b0:80:c1, -74
6323435191457, 8, tudelft-dastud, 1c:aa:07:b0:74:c2, -66
6323435191457, 8, eduroam, 1c:aa:07:b0:74:c0, -66
6323435191457, 8, mfold-linksys, 00:25:9c:ca:87:ee, -67
6323435191457, 8, eduroam, 1c:aa:07:6f:28:50, -73
6323435191457, 8, eduroam, 1c:aa:07:b0:74:cf, -81
6323435191457, 8, TUvisitor, 1c:aa:07:b0:7c:01, -71
6323435191457, 8, TUvisitor, 1c:aa:07:7b:28:01, -76
6331167085878, 8, sape, 20:c9:d0:18:43:f3, -77
6331167085878, 8, SLDE-™-2, 5c:96:9d:65:76:8d, -77
6331167085878, 8, Annibale's MacBook Pro, 34:36:3b:c5:5d:52, -75
6331167085878, 8, autosound, 80:ea:96:eb:1e:fc, -88
6331167085878, 8, TUvisitor, 1c:aa:07:b0:7a:b1, -55
6331167085878, 8, sape, 20:c9:d0:18:43:f4, -85
6331167085878, 8, mfold-dlink, 00:26:5a:a9:99:46, -65
6331167085878, 8, C150BRS4, 00:22:f7:20:a1:98, -82
6331167085878, 8, RFID-AP, 00:22:f7:21:d0:38, -71
6331167085878, 8, tudelft-dastud, 1c:aa:07:b0:7a:b2, -54
6331167085878, 8, eduroam, 1c:aa:07:b0:7a:b0, -55
6331167085878, 8, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -85
6331167085878, 8, tudelft-dastud, 1c:aa:07:b0:7a:bd, -61
