186977341799, 2, autosound, 80:ea:96:eb:1e:fc, -48
186977341799, 2, autosound, 80:ea:96:eb:1e:fd, -68
186977341799, 2, eduroam, 1c:aa:07:7b:39:10, -67
186977341799, 2, SLDE-™-2, 5c:96:9d:65:76:8d, -62
186977341799, 2, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -74
186977341799, 2, NaoNet3, 00:0c:f6:a6:3c:e8, -69
186977341799, 2, TRIBLER, e0:3f:49:09:d9:98, -65
186977341799, 2, sape, 20:c9:d0:18:43:f3, -79
186977341799, 2, TUvisitor, 1c:aa:07:7b:39:11, -63
186977341799, 2, tudelft-dastud, 1c:aa:07:7b:39:12, -63
186977341799, 2, TUvisitor, 1c:aa:07:b0:7a:b1, -59
186977341799, 2, TRIBLER, e0:3f:49:09:d9:9c, -76
186977341799, 2, eduroam, 1c:aa:07:7b:37:00, -72
186977341799, 2, TUvisitor, 1c:aa:07:b0:7a:be, -75
186977341799, 2, eduroam, 1c:aa:07:6e:31:af, -74
186977341799, 2, tudelft-dastud, 1c:aa:07:7b:37:02, -74
186977341799, 2, TUvisitor, 1c:aa:07:7b:39:1e, -72
186977341799, 2, TUvisitor, 1c:aa:07:7b:37:01, -72
186977341799, 2, tudelft-dastud, 1c:aa:07:6e:31:a2, -62
186977341799, 2, eduroam, 1c:aa:07:6e:31:a0, -65
186977341799, 2, eduroam, 24:01:c7:76:2a:30, -74
186977341799, 2, TUvisitor, 1c:aa:07:6e:31:a1, -63
186977341799, 2, tudelft-dastud, 24:01:c7:76:2a:32, -77
186977341799, 2, tudelft-dastud, 1c:aa:07:b0:7a:b2, -59
186977341799, 2, eduroam, 1c:aa:07:b0:7a:b0, -59
186977341799, 2, , 00:19:aa:76:70:00, -83
186977341799, 2, Router_Joost, 48:f8:b3:40:f1:a9, -86
186977341799, 2, TUvisitor, 24:01:c7:76:2a:31, -79
186977341799, 2, tudelft-dastud, 1c:aa:07:7b:39:1d, -73
186977341799, 2, tudelft-dastud, 1c:aa:07:b0:7a:bd, -75
186977341799, 2, C150BRS4, 00:22:f7:20:a1:98, -86
197205814637, 2, hotspot_mike, 60:36:dd:cb:c1:4f, -53
197205814637, 2, autosound, 80:ea:96:eb:1e:fc, -59
197205814637, 2, autosound, 80:ea:96:eb:1e:fd, -68
197205814637, 2, eduroam, 1c:aa:07:7b:39:10, -64
197205814637, 2, SLDE-™-2, 5c:96:9d:65:76:8d, -68
197205814637, 2, SLDE-™-2 5GHz, 5c:96:9d:65:76:8e, -75
197205814637, 2, NaoNet3, 00:0c:f6:a6:3c:e8, -77
197205814637, 2, TRIBLER, e0:3f:49:09:d9:98, -70
197205814637, 2, TUvisitor, 1c:aa:07:7b:39:11, -64
197205814637, 2, tudelft-dastud, 1c:aa:07:7b:39:12, -64
197205814637, 2, TUvisitor, 1c:aa:07:b0:7a:b1, -68
197205814637, 2, TRIBLER, e0:3f:49:09:d9:9c, -82
197205814637, 2, TUvisitor, 1c:aa:07:b0:7a:be, -80
197205814637, 2, eduroam, 1c:aa:07:6e:31:af, -74
197205814637, 2, tudelft-dastud, 1c:aa:07:7b:37:02, -74
197205814637, 2, TUvisitor, 1c:aa:07:7b:39:1e, -75
